Date,Visitor,PTS,Home,PTS
2021-12-17,MEM,124,SAC,105
2021-12-18,HOU,116,DET,107
2021-12-18,NYK,107,BOS,114
2021-12-18,ORL,100,BKN,93
2021-12-18,GSW,100,TOR,119
2021-12-18,LAC,103,OKC,104
2021-12-18,CLE,119,MIL,90
2021-12-18,WAS,109,UTA,103
2021-12-19,MIA,90,DET,100
2021-12-19,POR,105,MEM,100
2021-12-19,SAS,114,SAC,121
2021-12-19,LAL,110,CHI,115
2021-12-19,DAL,105,MIN,111
2021-12-19,CHA,106,PHX,137
2021-12-20,PHI,108,BOS,103
2021-12-20,HOU,118,CHI,133
2021-12-20,OKC,102,MEM,99
2021-12-20,CHA,102,UTA,112
2021-12-20,SAC,98,GSW,113
2021-12-20,SAS,116,LAC,92
2021-12-21,IND,96,MIA,125
2021-12-21,DET,91,NYK,105
2021-12-21,POR,97,NOP,111
2021-12-21,MIN,102,DAL,114
2021-12-21,PHX,108,LAL,90
2021-12-22,ORL,104,ATL,98
2021-12-22,CLE,101,BOS,111
2021-12-22,HOU,106,MIL,126
2021-12-22,DEN,94,OKC,108
2021-12-22,LAC,105,SAC,89
2021-12-23,HOU,106,IND,118
2021-12-23,NOP,110,ORL,104
2021-12-23,ATL,98,PHI,96
2021-12-23,DET,112,MIA,115
2021-12-23,WAS,124,NYK,117
2021-12-23,MIL,102,DAL,95
2021-12-23,CHA,115,DEN,107
2021-12-23,OKC,101,PHX,113
2021-12-23,MIN,116,UTA,128
2021-12-23,MEM,104,GSW,113
2021-12-23,SAS,138,LAL,110
2021-12-25,ATL,87,NYK,101
2021-12-25,BOS,113,MIL,117
2021-12-25,GSW,116,PHX,107
2021-12-25,BKN,122,LAL,115
2021-12-25,DAL,116,UTA,120
2021-12-26,ORL,83,MIA,93
2021-12-26,TOR,99,CLE,144
2021-12-26,MEM,127,SAC,102
2021-12-26,PHI,117,WAS,96
2021-12-26,NOP,112,OKC,117
2021-12-26,DET,109,SAS,144
2021-12-26,IND,105,CHI,113
2021-12-26,DEN,103,LAC,100
2021-12-27,HOU,99,CHA,123
2021-12-27,CHI,130,ATL,118
2021-12-27,BOS,103,MIN,108
2021-12-27,UTA,110,SAS,104
2021-12-27,MEM,114,PHX,113
2021-12-27,DAL,132,POR,117
2021-12-27,BKN,124,LAC,108
2021-12-28,MIL,127,ORL,110
2021-12-28,WAS,112,MIA,119
2021-12-28,PHI,114,TOR,109
2021-12-28,LAL,132,HOU,123
2021-12-28,NYK,96,MIN,88
2021-12-28,CLE,104,NOP,108
2021-12-28,DEN,89,GSW,86
2021-12-28,OKC,111,SAC,117
2021-12-29,NYK,94,DET,85
2021-12-29,CHA,116,IND,108
2021-12-29,LAC,91,BOS,82
2021-12-29,ATL,117,CHI,131
2021-12-29,LAL,99,MEM,104
2021-12-29,OKC,97,PHX,115
2021-12-29,UTA,120,POR,105
2021-12-29,DAL,94,SAC,95
2021-12-30,PHI,110,BKN,102
2021-12-30,MIL,136,ORL,118
2021-12-30,CLE,93,WAS,110
2021-12-31,PHX,108,BOS,123
2021-12-31,CHI,108,IND,106
2021-12-31,DAL,112,SAC,96
2021-12-31,MIA,120,HOU,110
2021-12-31,ATL,121,CLE,118
2021-12-31,LAC,108,TOR,116
2021-12-31,SAS,105,MEM,118
2021-12-31,NYK,80,OKC,95
2021-12-31,MIN,108,UTA,120
2021-12-31,POR,106,LAL,139
2022-01-01,NOP,113,MIL,136
2022-01-01,SAS,116,DET,117
2022-01-01,CHI,120,WAS,119
2022-01-01,LAC,120,BKN,116
2022-01-01,DEN,124,HOU,111
2022-01-01,GSW,123,UTA,116
2022-01-02,NYK,105,TOR,120
2022-01-02,ORL,111,BOS,116
2022-01-02,IND,104,CLE,108
2022-01-02,MIA,113,SAC,115
2022-01-02,PHX,133,CHA,99
2022-01-02,DAL,95,OKC,86
2022-01-02,MIN,103,LAL,108
2022-01-03,HOU,113,PHI,133
2022-01-03,CHA,121,WAS,124
2022-01-03,MEM,118,BKN,104
2022-01-03,ORL,98,CHI,102
2022-01-03,DET,115,MIL,106
2022-01-03,UTA,115,NOP,104
2022-01-03,DEN,89,DAL,103
2022-01-03,MIA,108,GSW,115
2022-01-03,ATL,131,POR,136
2022-01-03,MIN,122,LAC,104
